Lyon,Lille,1,2,,,,1.4,6.1,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/11/17,,,1.32,,5.34,,9
Metz,Marseille,0,3,,,,6.6,4.7,1.55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/11/17,,,6.11,,4.31,,1.51
Nantes,Monaco,1,0,,,,4,3.5,2.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/11/17,,,3.76,,3.35,,2.02
PSG,Troyes,2,0,,,,1.06,19,61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/11/17,,,1.05,,14.54,,36.91
Toulouse,Nice,1,2,,,,2.7,3.2,3.05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/11/17,,,2.62,,3.04,,2.88
Dijon,Bordeaux,3,2,,,,3.1,3.31,2.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/12/17,,,2.95,,3.18,,2.49
Lille,Toulouse,1,0,,,,2.11,3.3,4.19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/12/17,,,2.04,,3.23,,3.87
Monaco,Angers,1,0,,,,1.42,5.5,8.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/12/17,,,1.39,,4.91,,7.41
Nice,Metz,3,1,,,,1.45,4.7,8.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/12/17,,,1.43,,4.3,,7.83
Rennes,Amiens,2,0,,,,2.05,3.2,5.05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/12/17,,,1.99,,3.07,,4.36
Strasbourg,PSG,2,1,,,,19,8.3,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/12/17,,,14.24,,7.42,,1.17
Troyes,Guingamp,0,1,,,,2.69,3.3,2.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/12/17,,,2.6,,3.15,,2.79
Caen,Lyon,1,2,,,,4.71,3.81,1.85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/12/17,,,4.39,,3.6,,1.8
Montpellier,Marseille,1,1,,,,3.5,3.39,2.33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/12/17,,,3.27,,3.25,,2.24
SaintEtienne,Nantes,1,1,,,,2.4,3.1,3.76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/12/17,,,2.31,,2.96,,3.46
Bordeaux,Strasbourg,0,3,,,,1.75,4,5.75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/17,,,1.68,,3.78,,5.18
Angers,Montpellier,1,1,,,,2.8,3.2,3.25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/12/17,,,2.49,,3.05,,3.06
Guingamp,Dijon,4,0,,,,2.16,3.47,3.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/12/17,,,2.09,,3.3,,3.64
Metz,Rennes,1,1,,,,3.8,3.3,2.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/12/17,,,3.51,,3.13,,2.22
Monaco,Troyes,3,2,,,,1.35,5.81,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/12/17,,,1.32,,5.32,,9.5
PSG,Lille,3,1,,,,1.17,11.2,24.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/12/17,,,1.13,,9.29,,17.75
